Day,Price,Temperature,Precipitation,SnowDepth,SunshineHours,Month,DayOfWeek,Season,Price_lag_1,Price_lag_2,Price_lag_3,Price_lag_4,Price_lag_5,Price_lag_6,Price_lag_7,Price_MA7,Temp_MA7
2016-02-19,20.701666666666664,-0.37164179104477607,0.21145833333333333,0.04344262295081967,60.579629629629636,2,4,1,23.09875,18.576249999999998,26.1725,21.50208333333333,17.528333333333332,18.63625,23.14625,20.887976190476188,-3.147761194029851
2016-02-20,16.354583333333334,0.38358208955223877,4.430208333333334,0.03872727272727273,81.6148148148148,2,5,1,20.701666666666664,23.09875,18.576249999999998,26.1725,21.50208333333333,17.528333333333332,18.63625,20.56202380952381,-2.6560767590618335
2016-02-21,16.096666666666668,1.6134328358208954,0.8291666666666666,0.05775862068965518,199.03333333333333,2,6,1,16.354583333333334,20.701666666666664,23.09875,18.576249999999998,26.1725,21.50208333333333,17.528333333333332,20.357499999999998,-1.8010660980810234
2016-02-22,18.66208333333333,0.9208955223880596,0.8229166666666666,0.050491803278688525,182.9611111111111,2,0,1,16.096666666666668,16.354583333333334,20.701666666666664,23.09875,18.576249999999998,26.1725,21.50208333333333,19.951785714285712,-0.7724946695095948
2016-02-23,19.77958333333333,-1.3059701492537314,0.04270833333333334,0.04114754098360656,216.56296296296296,2,1,1,18.66208333333333,16.096666666666668,16.354583333333334,20.701666666666664,23.09875,18.576249999999998,26.1725,19.038511904761908,-0.2567164179104478
2016-02-24,20.020833333333332,-1.774626865671642,0.020833333333333332,0.0385,552.0018518518518,2,2,1,19.77958333333333,18.66208333333333,16.096666666666668,16.354583333333334,20.701666666666664,23.09875,18.576249999999998,19.244880952380953,-0.28251599147121537
2016-02-25,25.828333333333333,-1.6238805970149253,0.0010416666666666667,0.0353448275862069,491.8018518518518,2,3,1,20.020833333333332,19.77958333333333,18.66208333333333,16.096666666666668,16.354583333333334,20.701666666666664,23.09875,19.634821428571428,-0.30831556503198293
2016-02-26,22.699583333333333,-1.1492537313432836,0.04895833333333333,0.031864406779661014,303.9592592592592,2,4,1,25.828333333333333,20.020833333333332,19.77958333333333,18.66208333333333,16.096666666666668,16.354583333333334,20.701666666666664,19.920238095238094,-0.4194029850746269
2016-02-27,19.524166666666666,-1.8940298507462687,0.0,0.0343859649122807,538.9481481481481,2,5,1,22.699583333333333,25.828333333333333,20.020833333333332,19.77958333333333,18.66208333333333,16.096666666666668,16.354583333333334,20.373035714285713,-0.7447761194029852
2016-02-28,18.942916666666665,-2.1373134328358208,0.0010416666666666667,0.031578947368421054,466.0518518518519,2,6,1,19.524166666666666,22.699583333333333,25.828333333333333,20.020833333333332,19.77958333333333,18.66208333333333,16.096666666666668,20.779642857142854,-1.2805970149253731
2016-02-29,22.218333333333334,-3.1940298507462686,0.0,0.03109375,395.28333333333336,2,0,1,18.942916666666665,19.524166666666666,22.699583333333333,25.828333333333333,20.020833333333332,19.77958333333333,18.66208333333333,21.287678571428568,-1.8684434968017058
2016-03-01,19.982916666666664,-2.1985074626865675,0.11458333333333333,0.029206349206349208,223.4796296296296,3,1,2,22.218333333333334,18.942916666666665,19.524166666666666,22.699583333333333,25.828333333333333,20.020833333333332,19.77958333333333,21.316726190476192,-1.9959488272921109
2016-03-02,21.839583333333334,-0.4701492537313433,4.233333333333333,0.029682539682539685,7.066666666666667,3,2,2,19.982916666666664,22.218333333333334,18.942916666666665,19.524166666666666,22.699583333333333,25.828333333333333,20.020833333333332,21.57654761904762,-1.809594882729211
2016-03-03,22.412916666666664,1.2716417910447761,2.3854166666666665,0.05583333333333333,43.97592592592592,3,3,2,21.839583333333334,19.982916666666664,22.218333333333334,18.942916666666665,19.524166666666666,22.699583333333333,25.828333333333333,21.088630952380953,-1.395948827292111
2016-03-04,22.1925,0.9955223880597015,3.2312499999999997,0.06516666666666666,6.042592592592593,3,4,2,22.412916666666664,21.839583333333334,19.982916666666664,22.218333333333334,18.942916666666665,19.524166666666666,22.699583333333333,21.016190476190474,-1.0895522388059702
2016-03-05,20.091666666666665,0.6477611940298508,1.3552083333333333,0.0640677966101695,8.016666666666667,3,5,2,22.1925,22.412916666666664,21.839583333333334,19.982916666666664,22.218333333333334,18.942916666666665,19.524166666666666,21.0972619047619,-0.7264392324093816
2016-03-06,19.790833333333335,0.06865671641791045,6.45,0.06946428571428571,1.7314814814814816,3,6,2,20.091666666666665,22.1925,22.412916666666664,21.839583333333334,19.982916666666664,22.218333333333334,18.942916666666665,21.218392857142856,-0.41130063965884867
2016-03-07,23.48875,0.7626865671641792,2.8375,0.11790322580645161,40.31481481481482,3,0,2,19.790833333333335,20.091666666666665,22.1925,22.412916666666664,21.839583333333334,19.982916666666664,22.218333333333334,21.39988095238095,0.15394456289978678
2016-03-08,25.62125,0.9417910447761194,0.35520833333333335,0.12066666666666667,160.61296296296297,3,1,2,23.48875,19.790833333333335,20.091666666666665,22.1925,22.412916666666664,21.839583333333334,19.982916666666664,22.205357142857142,0.6025586353944563
2016-03-09,22.866666666666664,0.9059701492537314,0.10416666666666667,0.11064516129032259,207.2962962962963,3,2,2,25.62125,23.48875,19.790833333333335,20.091666666666665,22.1925,22.412916666666664,21.839583333333334,22.352083333333333,0.7991471215351814
2016-03-10,23.8275,0.3850746268656717,0.0031249999999999997,0.09688524590163934,322.5888888888889,3,3,2,22.866666666666664,25.62125,23.48875,19.790833333333335,20.091666666666665,22.1925,22.412916666666664,22.554166666666667,0.672494669509595
2016-03-11,26.802083333333332,0.06567164179104479,0.0,0.0863157894736842,444.15740740740745,3,4,2,23.8275,22.866666666666664,25.62125,23.48875,19.790833333333335,20.091666666666665,22.1925,23.212678571428572,0.5396588486140725
2016-03-12,23.100416666666664,-0.15970149253731344,0.0,0.07912280701754386,153.90555555555557,3,5,2,26.802083333333332,23.8275,22.866666666666664,25.62125,23.48875,19.790833333333335,20.091666666666665,23.642500000000002,0.4243070362473348
